Ранг;Название;Категория;Приоритет;Вероятность %;Адрес;Телефон;Email;Instagram;Facebook;Сайт/Домен;Источник;Вид связи;Заметки
28;Салон красоты «Aynura»;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
29;Салон красоты «Aziza»;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
30;Салон «Beatrice»;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
31;Beauty Art;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
32;Bell Beauty Salon;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
33;Beauty Salon 2012;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
34;Кафе «7 Небо»;Кафе;3;40;"Яшнабадский р-н, ул. Камаши, 61";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";"Название — хороший брендинг"
35;Кафе «19/91»;Кафе;3;40;"Мирзо-Улугбекский р-н, просп. Мустакиллик, 7";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
36;Кафе «2 Брата»;Кафе;3;40;"Сергелийский р-н, Сергели-2, 50";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
37;Ресторан «Maestro»;Кафе;4;40;"Чиланзарский р-н, ул. Мукими, 20Б";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
38;Prestige Ресторан;Кафе;3;40;"Чиланзарский р-н, ул. Кичик Халка Йули, 1А";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
39;Кафе «Adel»;Кафе;3;35;"Мирабадский р-н, ул. Толлимаржон, 135";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
40;Кафе «Ahmad»;Кафе;3;35;"Чиланзарский р-н, Аль-Хорезми, 35Г";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
41;Ресторан «Aksu»;Кафе;3;35;"Чиланзарский р-н, ул. Мукими, 178";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
42;Кафе «Al-Hayat»;Кафе;3;35;"Чиланзарский р-н, ул. Юкори Дархон, 1";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
43;Ресторан «Dinora Savdo»;Кафе;3;35;"Чиланзарский р-н, Чиланзар-7, 10А";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
44;Qamish Xorazm Taomlari;Кафе;3;35;"Чиланзарский р-н, ул. Мукими, 200";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
45;Кафе «Dombrabad»;Кафе;4;30;"пр. 2-й Наккошлик, 2";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
46;Ресторан «Mezon»;Кафе;4;30;"Чиланзарский р-н, Чиланзар-Ц, 4А";"(уже выше)";;;;"нет";"yellowpages.uz";"Email";"Дубль — см. #21"
46;Кафе «Asiana»;Кафе;4;30;"Юнусабадский р-н, просп. Амира Темура, 25";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
47;Кафе «Bistroff»;Кафе;4;30;"Юнусабадский р-н, ул. Осиё, 84А";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
48;Bravery Karaoke-Pub;Кафе;4;30;"Юнусабадский р-н, ул. Богишамол, 33";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
49;Кафе «Buxoro» (Кашгар);Кафе;4;30;"Юнусабадский р-н, Кашгар, 18А";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";""
50;Afina ФОК;Спорт;3;25;"Чиланзарский р-н, Чиланзар-1, 48";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";"⚠️ Возможно при гостинице — уточнить перед контактом"
